order_id,order_date,customer_id,product_id,region_id,quantity,discount,sales_amount,cost_amount,profit,is_return,is_invalid_date
O000001,2025-08-20,C00053,P0013,R014,3,0.0,970.29,789.78,180.51,0,0
O000002,2024-05-29,C00420,P0030,R015,2,0.0,968.74,640.56,328.18,0,0
O000003,2025-11-15,C01083,P0033,R006,2,0.0,1418.78,976.82,441.96,0,0
O000004,2024-12-31,C00119,P0043,R015,2,0.05,39.14,29.64,9.5,0,0
O000005,2025-09-08,C00455,P0096,R009,1,0.0,778.97,459.15,319.82,0,0
O000006,2025-01-16,C00298,P0072,R001,4,0.05,1050.7,921.72,128.98,0,0
O000007,2025-03-17,C01905,P0076,R016,1,0.15,477.81,442.13,35.68,0,0
O000008,2024-04-28,C00711,P0019,R002,1,0.05,49.8,44.02,5.78,0,0
O000009,2024-09-04,C00761,P0026,R001,1,0.0,733.81,567.0,166.81,0,0
O000010,2025-06-12,C00843,P0093,R015,2,0.0,1814.32,1188.42,625.9,0,0
O000011,2025-09-07,C00027,P0071,R002,1,0.1,796.62,677.48,119.14,0,0
O000012,2024-03-05,C01085,P0086,R011,1,0.1,626.33,589.29,37.04,0,0
O000013,2024-02-26,C01825,P0045,R007,2,0.05,594.59,488.96,105.63,0,0
O000014,2025-05-21,C01628,P0066,R019,4,0.15,2895.81,2846.04,49.77,0,0
O000015,2024-11-22,C00502,P0059,R007,1,0.0,1334.89,891.66,443.23,0,0
O000016,2025-09-12,C00027,P0028,R003,1,0.05,577.45,519.71,57.74,0,0
O000017,2024-02-19,C01547,P0087,R003,1,0.15,315.83,228.34,87.49,0,0
O000018,2024-09-12,C01683,P0042,R020,2,0.1,158.33,138.04,20.29,0,0
O000019,2024-01-26,C01844,P0056,R020,1,0.05,699.38,546.21,153.17,0,0
O000020,2025-06-02,C01155,P0019,R003,3,0.05,149.4,132.06,17.34,0,0
O000021,2025-09-19,C00948,P0071,R007,1,0.0,885.13,677.48,207.65,0,0
O000022,2024-04-24,C01513,P0084,R001,1,0.0,918.15,751.58,166.57,0,0
O000023,2024-08-24,C01381,P0050,R017,1,0.0,1253.56,827.4,426.16,0,0
O000024,2025-09-10,C01514,P0099,R018,1,0.05,1068.7,718.45,350.25,0,0
O000025,2024-01-31,C00569,P0034,R015,2,0.05,1162.34,1004.1,158.24,0,0
O000026,2025-11-26,C01807,P0091,R011,2,0.15,501.24,413.9,87.34,0,0
O000027,2025-10-10,C00075,P0078,R008,2,0.0,1818.18,1476.92,341.26,0,0
O000028,2024-04-21,C00187,P0095,R006,1,0.05,131.69,87.11,44.58,0,0
O000029,2024-04-11,C01310,P0080,R015,1,0.0,1064.41,755.97,308.44,0,0
